Kp,Ki,TempoSubida,Overshoot,Undershoot,ErroRampa
-0.4,0.4,7.86,0.193446580444215,0.0994402074534975,4.85189285775428
-0.3,0.4,7.84,0.143927954275885,0.0787669469869755,4.91100664104486
-0.2,0.4,7.84,0.101291355742628,0.0625355509295653,4.95162819462012
-0.1,0.4,7.89,0.0652558629627298,0.0518865730468264,4.97821378150853
0,0.4,7.98,0.0359518341108671,0.0483908070659925,4.9940525673167
0.3,0.4,8.75,0,0.0803233554803215,4.99779638151657
0.4,0.4,9.19,0,0.0978707721760214,4.98873560094531
0.5,0.4,9.65,0,0.116680491878511,4.97587852871044
-0.3,0.5,6.59,0.248815526056655,0.0855465105344286,3.95965429965956
-0.2,0.5,6.51,0.197137429213345,0.0720775689179755,3.97166585009841
-0.1,0.5,6.45,0.151111248384036,0.0635259489804741,3.9802936323345
0,0.5,6.4,0.11031999720793,0.060958912376424,3.98691023911089
0.1,0.5,6.38,0.0745465051158951,0.0651045197594503,3.99213190383278
0.2,0.5,6.38,0.0439020071065226,0.0753315003254842,3.99612060426981
0.3,0.5,6.43,0.0191888013006696,0.0897154235095844,3.99880941591611
0.4,0.5,6.55,0.0030555079856398,0.106570736801596,4.0000550638635
0.5,0.5,6.76,0,0.124993969604892,3.99972760454326
0.6,0.5,7.1,0,0.144590399530665,3.99775122659045
-0.1,0.6,5.6,0.246614627501952,0.0756043753484985,3.37704431657907
0,0.6,5.51,0.198974738835004,0.073719463519534,3.35719430846843
0.1,0.6,5.42,0.155699445093568,0.0775010142868928,3.34488610242857
0.2,0.6,5.34,0.116422678206932,0.0866518351972762,3.33799504515272
0.3,0.6,5.27,0.0808951375817688,0.0999562946437885,3.33467586663926
0.4,0.6,5.21,0.0490831503750015,0.11604760906427,3.33345741505137
0.5,0.6,5.17,0.0215211530139372,0.134003631995967,3.33325550660935
0.1,0.7,4.82,0.246423878704131,0.0902426843103241,2.88431839921296
0.2,0.7,4.71,0.202044850715672,0.0985902605544625,2.87052777136461
0.3,0.7,4.61,0.161080618149901,0.110946140661157,2.86307299217606
0.4,0.7,4.5,0.123163956889833,0.126263867503047,2.85940788008324
0.5,0.7,4.39,0.0879593441438991,0.143684624053441,2.85782538364058
0.4,0.8,4.06,0.209255260203982,0.137164292785502,2.49803343744747
